epochs,batch_size,init_lr,lr_red,model_depth,loss,kernel_size,auc
15.0,16.0,0.001,yes,6.0,bce,"(20, 10, 5)",0.8266728401334588
15.0,16.0,0.001,yes,6.0,bce,"(40, 20, 10)",0.8539871598117351
15.0,16.0,0.001,yes,6.0,bce,"(60, 30, 15)",0.8704825466035099
15.0,16.0,0.001,yes,6.0,wbce,"(20, 10, 5)",0.7663183739957345
15.0,16.0,0.001,yes,6.0,wbce,"(40, 20, 10)",0.8503065381880203
15.0,16.0,0.001,yes,6.0,wbce,"(60, 30, 15)",0.8637991313810315
15.0,16.0,0.001,yes,9.0,bce,"(20, 10, 5)",0.8345407299160946
15.0,16.0,0.001,yes,9.0,bce,"(40, 20, 10)",0.8554800638138529
15.0,16.0,0.001,yes,9.0,bce,"(60, 30, 15)",0.8890243214994102
15.0,16.0,0.001,yes,9.0,wbce,"(20, 10, 5)",0.7926455277561589
15.0,16.0,0.001,yes,9.0,wbce,"(40, 20, 10)",0.8789147031813259
15.0,16.0,0.001,yes,9.0,wbce,"(60, 30, 15)",0.8894655353870277
15.0,16.0,0.001,yes,12.0,bce,"(20, 10, 5)",0.8485005702161897
15.0,16.0,0.001,yes,12.0,bce,"(40, 20, 10)",0.8743572057477396
15.0,16.0,0.001,yes,12.0,bce,"(60, 30, 15)",0.8774772927724843
15.0,16.0,0.001,yes,12.0,wbce,"(20, 10, 5)",0.8414478263662364
15.0,16.0,0.001,yes,12.0,wbce,"(40, 20, 10)",0.8729208700809017
15.0,16.0,0.001,yes,12.0,wbce,"(60, 30, 15)",0.8950384587484885
15.0,16.0,0.001,no,6.0,bce,"(20, 10, 5)",0.881192886651784
15.0,16.0,0.001,no,6.0,bce,"(40, 20, 10)",0.8648103266529374
15.0,16.0,0.001,no,6.0,bce,"(60, 30, 15)",0.8730502760336726
15.0,16.0,0.001,no,6.0,wbce,"(20, 10, 5)",0.8403958479852215
15.0,16.0,0.001,no,6.0,wbce,"(40, 20, 10)",0.873627824705018
15.0,16.0,0.001,no,6.0,wbce,"(60, 30, 15)",0.8847454411513191
15.0,16.0,0.001,no,9.0,bce,"(20, 10, 5)",0.8754054201785103
15.0,16.0,0.001,no,9.0,bce,"(40, 20, 10)",0.887429631741241
15.0,16.0,0.001,no,9.0,bce,"(60, 30, 15)",0.8769903645206342
15.0,16.0,0.001,no,9.0,wbce,"(20, 10, 5)",0.8816089370030474
15.0,16.0,0.001,no,9.0,wbce,"(40, 20, 10)",0.8905082089144395
15.0,16.0,0.001,no,9.0,wbce,"(60, 30, 15)",0.8975545482860241
15.0,16.0,0.001,no,12.0,bce,"(20, 10, 5)",0.874380169514745
15.0,16.0,0.001,no,12.0,bce,"(40, 20, 10)",0.9066267956925876
15.0,16.0,0.001,no,12.0,bce,"(60, 30, 15)",0.873568855162373
15.0,16.0,0.001,no,12.0,wbce,"(20, 10, 5)",0.8773689156851697
15.0,16.0,0.001,no,12.0,wbce,"(40, 20, 10)",0.885535610353588
15.0,16.0,0.001,no,12.0,wbce,"(60, 30, 15)",0.8777212287934937
15.0,16.0,0.0001,yes,6.0,bce,"(20, 10, 5)",0.6704134720893576
15.0,16.0,0.0001,yes,6.0,bce,"(40, 20, 10)",0.7125223896168823
15.0,16.0,0.0001,yes,6.0,bce,"(60, 30, 15)",0.7583064671024909
15.0,16.0,0.0001,yes,6.0,wbce,"(20, 10, 5)",0.6419942743866476
15.0,16.0,0.0001,yes,6.0,wbce,"(40, 20, 10)",0.7258000778841232
15.0,16.0,0.0001,yes,6.0,wbce,"(60, 30, 15)",0.7596346563242956
15.0,16.0,0.0001,yes,9.0,bce,"(20, 10, 5)",0.7078933697934082
15.0,16.0,0.0001,yes,9.0,bce,"(40, 20, 10)",0.7680808394266548
15.0,16.0,0.0001,yes,9.0,bce,"(60, 30, 15)",0.7784954891148071
15.0,16.0,0.0001,yes,9.0,wbce,"(20, 10, 5)",0.6730908877208129
15.0,16.0,0.0001,yes,9.0,wbce,"(40, 20, 10)",0.7382730157041987
15.0,16.0,0.0001,yes,9.0,wbce,"(60, 30, 15)",0.7565360588995862
15.0,16.0,0.0001,yes,12.0,bce,"(20, 10, 5)",0.7272546045550049
15.0,16.0,0.0001,yes,12.0,bce,"(40, 20, 10)",0.7773356250705635
15.0,16.0,0.0001,yes,12.0,bce,"(60, 30, 15)",0.8001725604081757
15.0,16.0,0.0001,yes,12.0,wbce,"(20, 10, 5)",0.7102925150043441
15.0,16.0,0.0001,yes,12.0,wbce,"(40, 20, 10)",0.7639752614017649
15.0,16.0,0.0001,yes,12.0,wbce,"(60, 30, 15)",0.7408655581829943
15.0,16.0,0.0001,no,6.0,bce,"(20, 10, 5)",0.821918074012088
15.0,16.0,0.0001,no,6.0,bce,"(40, 20, 10)",0.8675601514470869
15.0,16.0,0.0001,no,6.0,bce,"(60, 30, 15)",0.8706476171840162
15.0,16.0,0.0001,no,6.0,wbce,"(20, 10, 5)",0.8333517184788981
15.0,16.0,0.0001,no,6.0,wbce,"(40, 20, 10)",0.8430680349070663
15.0,16.0,0.0001,no,6.0,wbce,"(60, 30, 15)",0.8751543008770019
15.0,16.0,0.0001,no,9.0,bce,"(20, 10, 5)",0.8615141429612226
15.0,16.0,0.0001,no,9.0,bce,"(40, 20, 10)",0.8667997901080797
15.0,16.0,0.0001,no,9.0,bce,"(60, 30, 15)",0.858925837986256
15.0,16.0,0.0001,no,9.0,wbce,"(20, 10, 5)",0.8672177772284709
15.0,16.0,0.0001,no,9.0,wbce,"(40, 20, 10)",0.8871018799220897
15.0,16.0,0.0001,no,9.0,wbce,"(60, 30, 15)",0.873143324193633
15.0,16.0,0.0001,no,12.0,bce,"(20, 10, 5)",0.8453000823665905
15.0,16.0,0.0001,no,12.0,bce,"(40, 20, 10)",0.828939574671903
15.0,16.0,0.0001,no,12.0,bce,"(60, 30, 15)",0.8929420978555885
15.0,16.0,0.0001,no,12.0,wbce,"(20, 10, 5)",0.8511136643983163
15.0,16.0,0.0001,no,12.0,wbce,"(40, 20, 10)",0.8565245294479497
15.0,16.0,0.0001,no,12.0,wbce,"(60, 30, 15)",0.8792392261613168
15.0,16.0,1e-05,yes,6.0,bce,"(20, 10, 5)",0.6730918140780799
15.0,16.0,1e-05,yes,6.0,bce,"(40, 20, 10)",0.6497582924308718
15.0,16.0,1e-05,yes,6.0,bce,"(60, 30, 15)",0.6841394375733447
15.0,16.0,1e-05,yes,6.0,wbce,"(20, 10, 5)",0.650533149771106
15.0,16.0,1e-05,yes,6.0,wbce,"(40, 20, 10)",0.6806060091309375
15.0,16.0,1e-05,yes,6.0,wbce,"(60, 30, 15)",0.6933064147005293
15.0,16.0,1e-05,yes,9.0,bce,"(20, 10, 5)",0.658440381664271
15.0,16.0,1e-05,yes,9.0,bce,"(40, 20, 10)",0.6414879577595931
15.0,16.0,1e-05,yes,9.0,bce,"(60, 30, 15)",0.7162040001890212
15.0,16.0,1e-05,yes,9.0,wbce,"(20, 10, 5)",0.6598180103332373
15.0,16.0,1e-05,yes,9.0,wbce,"(40, 20, 10)",0.6764351811981091
15.0,16.0,1e-05,yes,9.0,wbce,"(60, 30, 15)",0.6358740040620927
15.0,16.0,1e-05,yes,12.0,bce,"(20, 10, 5)",0.6228405210146195
15.0,16.0,1e-05,yes,12.0,bce,"(40, 20, 10)",0.6314136570215991
15.0,16.0,1e-05,yes,12.0,bce,"(60, 30, 15)",0.6974838469332997
15.0,16.0,1e-05,yes,12.0,wbce,"(20, 10, 5)",0.6540387728340195
15.0,16.0,1e-05,yes,12.0,wbce,"(40, 20, 10)",0.6905445175032896
15.0,16.0,1e-05,yes,12.0,wbce,"(60, 30, 15)",0.6678250017718473
15.0,16.0,1e-05,no,6.0,bce,"(20, 10, 5)",0.6941549285170755
15.0,16.0,1e-05,no,6.0,bce,"(40, 20, 10)",0.8119221513210936
15.0,16.0,1e-05,no,6.0,bce,"(60, 30, 15)",0.8058446872197068
15.0,16.0,1e-05,no,6.0,wbce,"(20, 10, 5)",0.6836564836810598
15.0,16.0,1e-05,no,6.0,wbce,"(40, 20, 10)",0.7426270438700352
15.0,16.0,1e-05,no,6.0,wbce,"(60, 30, 15)",0.8000506031815492
15.0,16.0,1e-05,no,9.0,bce,"(20, 10, 5)",0.724601334788777
15.0,16.0,1e-05,no,9.0,bce,"(40, 20, 10)",0.810637506523863
15.0,16.0,1e-05,no,9.0,bce,"(60, 30, 15)",0.863951035895086
15.0,16.0,1e-05,no,9.0,wbce,"(20, 10, 5)",0.7053847532012849
15.0,16.0,1e-05,no,9.0,wbce,"(40, 20, 10)",0.7877573968614172
15.0,16.0,1e-05,no,9.0,wbce,"(60, 30, 15)",0.8228684290859345
15.0,16.0,1e-05,no,12.0,bce,"(20, 10, 5)",0.7539060432407033
15.0,16.0,1e-05,no,12.0,bce,"(40, 20, 10)",0.8322067445889044
15.0,16.0,1e-05,no,12.0,bce,"(60, 30, 15)",0.8689482102882174
15.0,16.0,1e-05,no,12.0,wbce,"(20, 10, 5)",0.740618071085713
15.0,16.0,1e-05,no,12.0,wbce,"(40, 20, 10)",0.8479862527844234
15.0,16.0,1e-05,no,12.0,wbce,"(60, 30, 15)",0.8490469323540227
15.0,32.0,0.001,yes,6.0,bce,"(20, 10, 5)",0.7803629088523794
15.0,32.0,0.001,yes,6.0,bce,"(40, 20, 10)",0.834674210430113
15.0,32.0,0.001,yes,6.0,bce,"(60, 30, 15)",0.8719943782554246
15.0,32.0,0.001,yes,6.0,wbce,"(20, 10, 5)",0.7394525486832969
15.0,32.0,0.001,yes,6.0,wbce,"(40, 20, 10)",0.8498518129049982
15.0,32.0,0.001,yes,6.0,wbce,"(60, 30, 15)",0.8502708017141706
15.0,32.0,0.001,yes,9.0,bce,"(20, 10, 5)",0.8128365223516522
15.0,32.0,0.001,yes,9.0,bce,"(40, 20, 10)",0.8762175656291807
15.0,32.0,0.001,yes,9.0,bce,"(60, 30, 15)",0.899636960843853
15.0,32.0,0.001,yes,9.0,wbce,"(20, 10, 5)",0.7359695737875659
15.0,32.0,0.001,yes,9.0,wbce,"(40, 20, 10)",0.8663245161346418
15.0,32.0,0.001,yes,9.0,wbce,"(60, 30, 15)",0.843030223170082
15.0,32.0,0.001,yes,12.0,bce,"(20, 10, 5)",0.8130494636951392
15.0,32.0,0.001,yes,12.0,bce,"(40, 20, 10)",0.8484066358283386
15.0,32.0,0.001,yes,12.0,bce,"(60, 30, 15)",0.8549085969367534
15.0,32.0,0.001,yes,12.0,wbce,"(20, 10, 5)",0.7916605137931146
15.0,32.0,0.001,yes,12.0,wbce,"(40, 20, 10)",0.8693037117222934
15.0,32.0,0.001,yes,12.0,wbce,"(60, 30, 15)",0.8544366368065336
15.0,32.0,0.001,no,6.0,bce,"(20, 10, 5)",0.8770190096946059
15.0,32.0,0.001,no,6.0,bce,"(40, 20, 10)",0.8582598133220686
15.0,32.0,0.001,no,6.0,bce,"(60, 30, 15)",0.8693521542960997
15.0,32.0,0.001,no,6.0,wbce,"(20, 10, 5)",0.8747621567042555
15.0,32.0,0.001,no,6.0,wbce,"(40, 20, 10)",0.8565709738056907
15.0,32.0,0.001,no,6.0,wbce,"(60, 30, 15)",0.8500528089506386
15.0,32.0,0.001,no,9.0,bce,"(20, 10, 5)",0.8717867031130343
15.0,32.0,0.001,no,9.0,bce,"(40, 20, 10)",0.8845813412112458
15.0,32.0,0.001,no,9.0,bce,"(60, 30, 15)",0.8815188559927041
15.0,32.0,0.001,no,9.0,wbce,"(20, 10, 5)",0.8438824088831797
15.0,32.0,0.001,no,9.0,wbce,"(40, 20, 10)",0.8725233095543571
15.0,32.0,0.001,no,9.0,wbce,"(60, 30, 15)",0.8626164438355817
15.0,32.0,0.001,no,12.0,bce,"(20, 10, 5)",0.8388156546210418
15.0,32.0,0.001,no,12.0,bce,"(40, 20, 10)",0.8710856155233978
15.0,32.0,0.001,no,12.0,bce,"(60, 30, 15)",0.8617355987012195
15.0,32.0,0.001,no,12.0,wbce,"(20, 10, 5)",0.8617313415463329
15.0,32.0,0.001,no,12.0,wbce,"(40, 20, 10)",0.8674953097945158
15.0,32.0,0.001,no,12.0,wbce,"(60, 30, 15)",0.8371985467443416
15.0,32.0,0.0001,yes,6.0,bce,"(20, 10, 5)",0.7065695046448132
15.0,32.0,0.0001,yes,6.0,bce,"(40, 20, 10)",0.742575217612656
15.0,32.0,0.0001,yes,6.0,bce,"(60, 30, 15)",0.7646651401397601
15.0,32.0,0.0001,yes,6.0,wbce,"(20, 10, 5)",0.6501062105719884
15.0,32.0,0.0001,yes,6.0,wbce,"(40, 20, 10)",0.6964370211497424
15.0,32.0,0.0001,yes,6.0,wbce,"(60, 30, 15)",0.7465180030091386
15.0,32.0,0.0001,yes,9.0,bce,"(20, 10, 5)",0.7336025608791642
15.0,32.0,0.0001,yes,9.0,bce,"(40, 20, 10)",0.7318642379051394
15.0,32.0,0.0001,yes,9.0,bce,"(60, 30, 15)",0.7772939188987839
15.0,32.0,0.0001,yes,9.0,wbce,"(20, 10, 5)",0.6958935707996199
15.0,32.0,0.0001,yes,9.0,wbce,"(40, 20, 10)",0.6910376119649501
15.0,32.0,0.0001,yes,9.0,wbce,"(60, 30, 15)",0.7487454750832535
15.0,32.0,0.0001,yes,12.0,bce,"(20, 10, 5)",0.7029104043096869
15.0,32.0,0.0001,yes,12.0,bce,"(40, 20, 10)",0.7677231163229434
15.0,32.0,0.0001,yes,12.0,bce,"(60, 30, 15)",0.765363607903725
15.0,32.0,0.0001,yes,12.0,wbce,"(20, 10, 5)",0.6587530538615392
15.0,32.0,0.0001,yes,12.0,wbce,"(40, 20, 10)",0.7169493227541287
15.0,32.0,0.0001,yes,12.0,wbce,"(60, 30, 15)",0.7556101826645397
15.0,32.0,0.0001,no,6.0,bce,"(20, 10, 5)",0.8041626887602621
15.0,32.0,0.0001,no,6.0,bce,"(40, 20, 10)",0.8760409385172946
15.0,32.0,0.0001,no,6.0,bce,"(60, 30, 15)",0.8781858990473409
15.0,32.0,0.0001,no,6.0,wbce,"(20, 10, 5)",0.7976519650087935
15.0,32.0,0.0001,no,6.0,wbce,"(40, 20, 10)",0.8417950636478685
15.0,32.0,0.0001,no,6.0,wbce,"(60, 30, 15)",0.8590866198030325
15.0,32.0,0.0001,no,9.0,bce,"(20, 10, 5)",0.8611608809355963
15.0,32.0,0.0001,no,9.0,bce,"(40, 20, 10)",0.8584978413567771
15.0,32.0,0.0001,no,9.0,bce,"(60, 30, 15)",0.8537246849472698
15.0,32.0,0.0001,no,9.0,wbce,"(20, 10, 5)",0.8493290968499001
15.0,32.0,0.0001,no,9.0,wbce,"(40, 20, 10)",0.868972478091
15.0,32.0,0.0001,no,9.0,wbce,"(60, 30, 15)",0.8527631798038874
15.0,32.0,0.0001,no,12.0,bce,"(20, 10, 5)",0.8574615322020609
15.0,32.0,0.0001,no,12.0,bce,"(40, 20, 10)",0.8714000003834698
15.0,32.0,0.0001,no,12.0,bce,"(60, 30, 15)",0.8596627268415166
15.0,32.0,0.0001,no,12.0,wbce,"(20, 10, 5)",0.8407461100953784
15.0,32.0,0.0001,no,12.0,wbce,"(40, 20, 10)",0.8742901899215555
15.0,32.0,0.0001,no,12.0,wbce,"(60, 30, 15)",0.8466797419154499
15.0,32.0,1e-05,yes,6.0,bce,"(20, 10, 5)",0.6730282607540663
15.0,32.0,1e-05,yes,6.0,bce,"(40, 20, 10)",0.6527772719666376
15.0,32.0,1e-05,yes,6.0,bce,"(60, 30, 15)",0.6833986494055746
15.0,32.0,1e-05,yes,6.0,wbce,"(20, 10, 5)",0.6484350228904973
15.0,32.0,1e-05,yes,6.0,wbce,"(40, 20, 10)",0.7025122701024723
15.0,32.0,1e-05,yes,6.0,wbce,"(60, 30, 15)",0.6165897038997831
15.0,32.0,1e-05,yes,9.0,bce,"(20, 10, 5)",0.6508971208087618
15.0,32.0,1e-05,yes,9.0,bce,"(40, 20, 10)",0.6881577915974817
15.0,32.0,1e-05,yes,9.0,bce,"(60, 30, 15)",0.6581244239202976
15.0,32.0,1e-05,yes,9.0,wbce,"(20, 10, 5)",0.6475510615234014
15.0,32.0,1e-05,yes,9.0,wbce,"(40, 20, 10)",0.6749102936843504
15.0,32.0,1e-05,yes,9.0,wbce,"(60, 30, 15)",0.6796762027028752
15.0,32.0,1e-05,yes,12.0,bce,"(20, 10, 5)",0.6335305795180921
15.0,32.0,1e-05,yes,12.0,bce,"(40, 20, 10)",0.674297044200365
15.0,32.0,1e-05,yes,12.0,bce,"(60, 30, 15)",0.6836000728157926
15.0,32.0,1e-05,yes,12.0,wbce,"(20, 10, 5)",0.6649758480839724
15.0,32.0,1e-05,yes,12.0,wbce,"(40, 20, 10)",0.6911744880414835
15.0,32.0,1e-05,yes,12.0,wbce,"(60, 30, 15)",0.6695366221099569
15.0,32.0,1e-05,no,6.0,bce,"(20, 10, 5)",0.7014373436292641
15.0,32.0,1e-05,no,6.0,bce,"(40, 20, 10)",0.7617201578648191
15.0,32.0,1e-05,no,6.0,bce,"(60, 30, 15)",0.7902362610042398
15.0,32.0,1e-05,no,6.0,wbce,"(20, 10, 5)",0.6637347672283352
15.0,32.0,1e-05,no,6.0,wbce,"(40, 20, 10)",0.7330214349116205
15.0,32.0,1e-05,no,6.0,wbce,"(60, 30, 15)",0.7611677845025634
15.0,32.0,1e-05,no,9.0,bce,"(20, 10, 5)",0.7284320955403958
15.0,32.0,1e-05,no,9.0,bce,"(40, 20, 10)",0.78936766826493
15.0,32.0,1e-05,no,9.0,bce,"(60, 30, 15)",0.8380861213637787
15.0,32.0,1e-05,no,9.0,wbce,"(20, 10, 5)",0.6862464986574359
15.0,32.0,1e-05,no,9.0,wbce,"(40, 20, 10)",0.7301043702122666
15.0,32.0,1e-05,no,9.0,wbce,"(60, 30, 15)",0.8333354519559228
15.0,32.0,1e-05,no,12.0,bce,"(20, 10, 5)",0.7336316099155176
15.0,32.0,1e-05,no,12.0,bce,"(40, 20, 10)",0.8007951048336092
15.0,32.0,1e-05,no,12.0,bce,"(60, 30, 15)",0.8100514249633194
15.0,32.0,1e-05,no,12.0,wbce,"(20, 10, 5)",0.7226884337793144
15.0,32.0,1e-05,no,12.0,wbce,"(40, 20, 10)",0.7790155834600204
15.0,32.0,1e-05,no,12.0,wbce,"(60, 30, 15)",0.7850950466890486
15.0,64.0,0.001,yes,6.0,bce,"(20, 10, 5)",0.7495758556397871
15.0,64.0,0.001,yes,6.0,bce,"(40, 20, 10)",0.8315753862271041
15.0,64.0,0.001,yes,6.0,bce,"(60, 30, 15)",0.8710055127271756
15.0,64.0,0.001,yes,6.0,wbce,"(20, 10, 5)",0.7364576670481578
15.0,64.0,0.001,yes,6.0,wbce,"(40, 20, 10)",0.787672598923249
15.0,64.0,0.001,yes,6.0,wbce,"(60, 30, 15)",0.8217612721350912
15.0,64.0,0.001,yes,9.0,bce,"(20, 10, 5)",0.8078801098622016
15.0,64.0,0.001,yes,9.0,bce,"(40, 20, 10)",0.8530087063487457
15.0,64.0,0.001,yes,9.0,bce,"(60, 30, 15)",0.8732578183137761
15.0,64.0,0.001,yes,9.0,wbce,"(20, 10, 5)",0.7315452720399928
15.0,64.0,0.001,yes,9.0,wbce,"(40, 20, 10)",0.7932894656816929
15.0,64.0,0.001,yes,9.0,wbce,"(60, 30, 15)",0.867402887859106
15.0,64.0,0.001,yes,12.0,bce,"(20, 10, 5)",0.7994359764145967
15.0,64.0,0.001,yes,12.0,bce,"(40, 20, 10)",0.8452146827877197
15.0,64.0,0.001,yes,12.0,bce,"(60, 30, 15)",0.8559008446423562
15.0,64.0,0.001,yes,12.0,wbce,"(20, 10, 5)",0.7760259045040621
15.0,64.0,0.001,yes,12.0,wbce,"(40, 20, 10)",0.8277374452654213
15.0,64.0,0.001,yes,12.0,wbce,"(60, 30, 15)",0.8539592000179564
15.0,64.0,0.001,no,6.0,bce,"(20, 10, 5)",0.8769205029052003
15.0,64.0,0.001,no,6.0,bce,"(40, 20, 10)",0.8809930544784161
15.0,64.0,0.001,no,6.0,bce,"(60, 30, 15)",0.8604459342254404
15.0,64.0,0.001,no,6.0,wbce,"(20, 10, 5)",0.8381307737817356
15.0,64.0,0.001,no,6.0,wbce,"(40, 20, 10)",0.8489315426117653
15.0,64.0,0.001,no,6.0,wbce,"(60, 30, 15)",0.8868635518220214
15.0,64.0,0.001,no,9.0,bce,"(20, 10, 5)",0.8895091162891887
15.0,64.0,0.001,no,9.0,bce,"(40, 20, 10)",0.8776826410523578
